,Product URL,Catalog Image
120,https://www.corporategear.com/travismathew-men-s-newport-quarter-zip-fleece.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/c11512-bal.jpg"",""/resources/parsonskellogg/product/medium/c11512-blk.jpg"",""/resources/parsonskellogg/product/medium/c11512-dgr.jpg"",""/resources/parsonskellogg/product/medium/c11512-wht.jpg""]"
122,https://www.corporategear.com/vineyard-vines-men-s-saltwater-1-4-zip.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/1005671_5690825_color_wht.jpg"",""/resources/parsonskellogg/product/medium/1005671_5690832_color_blk.jpg"",""/resources/parsonskellogg/product/medium/1005671_5690839_color_bht.jpg"",""/resources/parsonskellogg/product/medium/1005671_5690846_color_nvy.jpg"",""/resources/parsonskellogg/product/medium/1005671_5690853_color_roy.jpg"",""/resources/parsonskellogg/product/medium/1005671_5690860_color_gre.jpg"",""/resources/parsonskellogg/product/medium/1005671_5690867_color_red.jpg""]"
124,https://www.corporategear.com/patagonia-men-s-micro-d-pullover.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/cgm742-001.jpg"",""/resources/parsonskellogg/product/medium/cgm742-426.jpg""]"
126,https://www.corporategear.com/eddie-bauer-1-2-zip-performance-fleece.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/cgm502-001.jpg"",""/resources/parsonskellogg/product/medium/cgm502-100.jpg"",""/resources/parsonskellogg/product/medium/cgm502-410.jpg""]"
128,https://www.corporategear.com/patagonia-men-s-woolyester-fleece-pullover.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/cgm505-002.jpg"",""/resources/parsonskellogg/product/medium/cgm505-479.jpg""]"
130,https://www.corporategear.com/nike-men-s-therma-crew.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/og139-blk.jpg"",""/resources/parsonskellogg/product/medium/og139-dig.jpg"",""/resources/parsonskellogg/product/medium/og139-nvy.jpg""]"
132,https://www.corporategear.com/nike-men-s-therma-crew.html,"[""/resources/parsonskellogg/product/medium/50844-599.jpg"",""/resources/parsonskellogg/product/medium/50844-639.jpg"",""/resources/parsonskellogg/product/medium/50844-990.jpg""]"
133,https://www.corporategear.com/peter-millar-men-s-crown-comfort-interlock-1-4-zip.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/25146.jpg"",""/resources/parsonskellogg/product/medium/25147.jpg"",""/resources/parsonskellogg/product/medium/25148.jpg"",""/resources/parsonskellogg/product/medium/25149.jpg"",""/resources/parsonskellogg/product/medium/25150.jpg"",""/resources/parsonskellogg/product/medium/25151.jpg"",""/resources/parsonskellogg/product/medium/637746507827060129_1006903_5737099_swatch_25241.jpg""]"
135,https://www.corporategear.com/helly-hansen-men-s-tech-1-2-zip.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/1007014_5702664_color_igrk.jpg"",""/resources/parsonskellogg/product/medium/1007014_5702667_color_sthk.jpg""]"
137,https://www.corporategear.com/adidas-men-s-fleece-crew.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/1310071-090.jpg"",""/resources/parsonskellogg/product/medium/1310071-025.jpg"",""/resources/parsonskellogg/product/medium/1310071-001.jpg"",""/resources/parsonskellogg/product/medium/1310071-410.jpg"",""/resources/parsonskellogg/product/medium/637926163312560875_1007249_5749464_swatch_100.jpg""]"
139,https://www.corporategear.com/adidas-men-s-fleece-hoodie.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/og202-blk.jpg"",""/resources/parsonskellogg/product/medium/og202-blu.jpg""]"
141,https://www.corporategear.com/johnnie-o-men-s-sully-1-4-zip-pullover.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/og2010-gry.jpg"",""/resources/parsonskellogg/product/medium/og2010-blk.jpg""]"
143,https://www.corporategear.com/fairway-greene-men-s-valley-1-4-zip-pullover.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/1007617_5706983_color_blk.jpg"",""/resources/parsonskellogg/product/medium/1007617_5706992_color_blu.jpg"",""/resources/parsonskellogg/product/medium/1007617_5707001_color_gry.jpg""]"
145,https://www.corporategear.com/fairway-greene-men-s-baruffa-v-neck-sweater.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/202842_5709814_swatch_1056784.jpg"",""/resources/parsonskellogg/product/medium/202842_5709821_swatch_1056785.jpg"",""/resources/parsonskellogg/product/medium/202842_5709828_swatch_1056787.jpg"",""/resources/parsonskellogg/product/medium/681966_1056716-blk.jpg""]"
147,https://www.corporategear.com/fairway-greene-men-s-caves-1-4-zip-pullover.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/1005629_5710248_color_nvy.jpg"",""/resources/parsonskellogg/product/medium/1005629_5690487_color_blk.jpg""]"
149,https://www.corporategear.com/fairway-greene-men-s-baruffa-1-4-zip-windsweater.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/901076-54.jpg"",""/resources/parsonskellogg/product/medium/901076-51.jpg"",""/resources/parsonskellogg/product/medium/901076-96.jpg"",""/resources/parsonskellogg/product/medium/901076-47.jpg"",""/resources/parsonskellogg/product/medium/901076-52.jpg""]"
